Date(yyyy.mm.dd),Type,Prec,Tmean,Tmin,Tmax,Rad,Wind,dewp,vprs
1980.01.01,1,0,0.75,-1.4,2.9,2.5,1.4,-1.9,5.3
1980.01.02,1,0,1,-1.6,3.6,4.1,3.6,-2.1,5.2
1980.01.03,1,5.7,0.35,-1.4,2.1,2.8,3.1,-3.4,4.8
1980.01.04,1,3.8,4.5,2,7,1.2,4.5,6,9.4
1980.01.05,1,0.8,4.35,2.9,5.8,1.3,4,3.3,7.7
1980.01.06,1,1.7,5.85,3.9,7.8,3.1,4.2,3.2,7.7
1980.01.07,1,0.3,4.55,2.1,7,4.3,2.6,1.8,7
1980.01.08,1,0,2.85,1.7,4,2.9,1.9,0.2,6.2
1980.01.09,1,0.5,1.6,0.6,2.6,2.7,2.6,-2,5.3
1980.01.10,1,0,0.65,-1.3,2.6,3.6,3.5,-4.1,4.5
1980.01.11,1,0,-1,-2.6,0.6,4.2,3.5,-7.7,3.4
1980.01.12,1,0,-1.9,-4.3,0.5,5.9,4,-8.3,3.3
1980.01.13,1,0,-4.15,-6.4,-1.9,5.4,1.6,-11.2,2.6
1980.01.14,1,0,-3.9,-7.7,-0.1,5.5,2,-8.2,3.3
1980.01.15,1,0,-3.6,-6.1,-1.1,4.1,1.9,-8,3.4
1980.01.16,1,0,-3.25,-6.7,0.2,5.4,4.5,-7.4,3.5
1980.01.17,1,0,-2.6,-5.8,0.6,6,3.3,-8.5,3.2
1980.01.18,1,0,-2.55,-4.8,-0.3,4.1,0.9,-7.7,3.4
1980.01.19,1,0.3,0.35,-3.3,4,4.7,3.5,-1.5,5.5
1980.01.20,1,0.6,1.95,1.1,2.8,2,3.2,0,6.1
1980.01.21,1,7.3,4.8,1.7,7.9,3.2,6.8,4.3,8.3
1980.01.22,1,0.7,5.75,4.2,7.3,3.8,6.3,3.5,7.9
1980.01.23,1,1.4,5.4,4,6.8,3,4.9,3.2,7.7
1980.01.24,1,3,3.8,2.7,4.9,1.9,1.5,2.7,7.4
1980.01.25,1,0,3.1,1.9,4.3,2,1.8,2.1,7.1
1980.01.26,1,0,0.95,-1.8,3.7,2.8,1.6,-0.3,6
1980.01.27,1,0,0.7,-1.6,3,3.6,1.1,-0.5,5.9
1980.01.28,1,0,1.4,-1.2,4,7,2.5,-3,4.9
1980.01.29,1,0.4,1.9,-0.8,4.6,3.9,2.6,1.2,6.7
1980.01.30,1,4.5,5.95,3,8.9,1.9,4.6,7.2,10.2
1980.01.31,1,7.9,8.9,6.6,11.2,5.7,7.4,6.7,9.8
1980.02.01,1,1.2,3.9,1.7,6.1,5.3,3.2,-1.7,5.4
1980.02.02,1,7.4,7.45,5.7,9.2,2.5,5.8,5.9,9.3
1980.02.03,1,16,8.15,5.4,10.9,1.9,6.3,8.4,11
1980.02.04,1,4.2,9.6,7.7,11.5,3.6,4.8,9.4,11.8
1980.02.05,1,2.9,9.65,8.3,11,5,7.2,5.2,8.9
1980.02.06,1,4.5,7.95,6.3,9.6,2.3,4.7,6.3,9.6
1980.02.07,1,1,8.05,6.6,9.5,6.1,4.7,2.3,7.2
1980.02.08,1,0,8.7,7.1,10.3,2.9,3.5,5.1,8.8
1980.02.09,1,0,10,6.3,13.7,7.2,4.2,6.4,9.6
1980.02.10,1,1.5,7.9,5.1,10.7,5.8,3.5,4,8.1
1980.02.11,1,0,6.1,4.2,8,2.4,2.6,3.9,8.1
1980.02.12,1,0,5.7,3.2,8.2,6.3,1.5,2,7
1980.02.13,1,0,4.4,2.9,5.9,4.1,1.5,1.3,6.7
1980.02.14,1,0.3,5.75,3.1,8.4,4.5,1.5,2.2,7.2
1980.02.15,1,0,7,4,10,5.3,2.1,3.5,7.9
1980.02.16,1,3.3,5.25,3.4,7.1,1.8,1.6,4.7,8.6
1980.02.17,1,0,7.35,3.5,11.2,7.3,0.7,4.7,8.6
1980.02.18,1,0,5.85,1.6,10.1,9.5,3.4,1.3,6.7
1980.02.19,1,0,6,1.1,10.9,10.2,4,0.8,6.5
1980.02.20,1,0,6.65,3.5,9.8,2.9,4,3.2,7.7
1980.02.21,1,0,6.65,1.6,11.7,8.9,3.8,1,6.6
1980.02.22,1,6,7.15,3.8,10.5,4.3,3.2,5.1,8.8
1980.02.23,1,1.1,4.6,0.7,8.5,6.9,1.1,2.4,7.3
1980.02.24,1,2.2,4.1,1.9,6.3,2.5,0.9,2.5,7.3
1980.02.25,1,0.3,3.85,1,6.7,5.7,0.8,1.3,6.7
1980.02.26,1,0,3.1,0.1,6.1,3.6,2.7,2.3,7.2
1980.02.27,1,0,4.55,0.4,8.7,10,3,0.8,6.5
1980.02.28,1,0,3.35,-1.1,7.8,11.5,3,-1.7,5.4
1980.03.01,1,0,6.3,3.5,9.1,9.6,0.9,0.8,6.5
1980.03.02,1,0,5.4,2.5,8.3,5.7,1.8,0.5,6.3
1980.03.03,1,0,3.45,0,6.9,11.8,3,-5.8,4
1980.03.04,1,0,3.1,-1.5,7.7,11.8,2.7,-3.6,4.7
1980.03.05,1,0.6,3.95,-1.2,9.1,12.2,2.8,-4,4.6
1980.03.06,1,8.1,8.05,5.8,10.3,3.9,5.4,7.7,10.6
1980.03.07,1,2.5,6.65,5,8.3,5.5,6.3,0.9,6.5
1980.03.08,1,4.1,5.9,4.2,7.6,5,4.1,2,7.1
1980.03.09,1,0.6,7.15,4.3,10,7,2.7,3.2,7.7
1980.03.10,1,5.4,4.55,2.4,6.7,3,3.1,4.1,8.2
1980.03.11,1,0,5.9,3.9,7.9,10.9,3.5,-0.3,6
1980.03.12,1,14.7,6.5,4.1,8.9,4.2,4.2,3.1,7.6
1980.03.13,1,6.6,5.45,4.5,6.4,3.3,3.4,4.6,8.5
1980.03.14,1,4.8,5.3,4.3,6.3,4.9,4.2,1.3,6.7
1980.03.15,1,0,5.15,2.9,7.4,11.3,4.1,-0.7,5.8
1980.03.16,1,0,4.95,2.2,7.7,9,2.4,-0.7,5.8
1980.03.17,1,0,5.3,2.4,8.2,9.9,1.1,-2.3,5.2
1980.03.18,1,0,6.85,2.7,11,9.6,2.4,1.4,6.8
1980.03.19,1,0,8.8,4.9,12.7,9.4,3.4,3.8,8
1980.03.20,1,4.8,3.6,2.4,4.8,4.8,4.5,2.6,7.4
1980.03.21,1,1.8,3,1.2,4.8,8.4,1.7,-1.5,5.5
1980.03.22,1,0,3.3,-1.5,8.1,16.1,1.2,-4.3,4.5
1980.03.23,1,0,4.9,-1.8,11.6,17.5,1.2,-4.8,4.3
1980.03.24,1,0,7.5,1,14,17.3,3.3,1.8,7
1980.03.25,1,6.5,8.15,6,10.3,10.3,3,2.7,7.4
1980.03.26,1,7.2,6.3,3.2,9.4,5.9,3.3,7.3,10.2
1980.03.27,1,4.4,12.8,11.2,14.4,6.7,5.9,10.7,12.9
1980.03.28,1,1,11.5,8.2,14.8,12,6.3,8.4,11.1
1980.03.29,1,0.4,7.65,5.2,10.1,13.1,5.9,2.9,7.5
1980.03.30,1,0,8.3,4.7,11.9,11.2,2.4,1.7,6.9
1980.03.31,1,8.5,10.4,6.5,14.3,4.3,3.6,11.7,13.9
1980.04.01,1,0.6,11.8,7.8,15.8,11.3,5.2,10.3,12.6
1980.04.02,1,0.3,7.95,5.6,10.3,11.4,4.4,1.4,6.7
1980.04.03,1,0,6.1,2.8,9.4,12,4.1,-2.4,5.1
1980.04.04,1,0,5.8,1.4,10.2,14.6,3.7,-1.5,5.5
1980.04.05,1,0,5.4,0.7,10.1,15.9,3.7,-2.2,5.2
1980.04.06,1,0,5.55,1.2,9.9,10.8,3.5,-0.4,5.9
1980.04.07,1,0,7.35,2.4,12.3,12.7,2.4,1.3,6.7
1980.04.08,1,0.5,6.3,2.9,9.7,11.7,3.6,-2.6,5
1980.04.09,1,0,5.7,1.9,9.5,16.2,3.5,-3,4.9
1980.04.10,1,0,8.35,3.1,13.6,11.8,0.8,2.6,7.4
1980.04.11,1,0,9.9,4.9,14.9,19.3,2.9,2.6,7.4
1980.04.12,1,0,10.15,3,17.3,20.6,3.3,2.6,7.4
1980.04.13,1,0,11.55,5.9,17.2,18,3.4,2.5,7.3
1980.04.14,1,0,12.65,7.1,18.2,19.5,3.5,6.3,9.6
1980.04.15,1,0,12,8.6,15.4,10,2.9,5.9,9.3
1980.04.16,1,0,14.25,9.4,19.1,14.4,0.1,9,11.5
1980.04.17,1,0,14.2,8.5,19.9,20.8,3.1,6.5,9.7
1980.04.18,1,0,10.5,6.9,14.1,11.5,2.8,4.2,8.2
1980.04.19,1,0.3,9.65,6.7,12.6,13,3.2,4.2,8.2
1980.04.20,1,1,6.85,4.8,8.9,15.8,4.9,-4.9,4.3
1980.04.21,1,0.9,6.6,3.2,10,13.4,4.5,-0.7,5.8
1980.04.22,1,0.4,7.5,3.2,11.8,13.1,2.4,2.1,7.1
1980.04.23,1,0,7.4,2.1,12.7,23.9,3.1,-1.3,5.6
1980.04.24,1,0,9.1,4.8,13.4,15,3.2,3.4,7.8
1980.04.25,1,0,9.35,4.7,14,15.5,2.2,4.3,8.3
1980.04.26,1,0.9,8.75,5.2,12.3,13.6,3,0.6,6.4
1980.04.27,1,0.4,10.45,7.2,13.7,15.9,1.8,4.6,8.5
1980.04.28,1,0,10.35,6.2,14.5,14.7,1.5,3.6,7.9
