Date(yyyy.mm.dd),Type,Prec,Tmean,Tmin,Tmax,Rad,Wind,dewp,vprs
1980.01.01,1,6.7,-3,-6,0,5.4,1.6,NA,0.4
1980.01.02,1,1.7,-5,-7.7,-2.3,4.9,4.2,NA,0.3
1980.01.03,1,0,-4.6,-8,-1.2,5.4,1.3,NA,0.3
1980.01.04,1,1.3,-1.7,-4.8,1.4,3.6,5.1,NA,0.5
1980.01.05,1,4.9,0.8,0.4,1.2,1.9,5.2,NA,0.5
1980.01.06,1,1.1,0.5,0.1,0.9,3,4.5,NA,0.5
1980.01.07,1,1.4,1,0.5,1.5,2.2,2.8,NA,0.5
1980.01.08,1,0,-0.2,-1.8,1.4,4.3,2,NA,0.4
1980.01.09,1,2.3,-0.3,-2.8,2.2,3.6,3.4,NA,0.5
1980.01.10,1,2,0.1,-3.4,3.6,2.6,1,NA,0.5
1980.01.11,1,2,-5.5,-6.7,-4.3,5.5,6.3,NA,0.3
1980.01.12,1,1.1,-8.2,-10.2,-6.1,5.3,6.6,NA,0.2
1980.01.13,1,0,-5.4,-10.1,-0.6,7,2.2,NA,0.3
1980.01.14,1,0,-2.1,-6.7,2.5,6.2,1.3,NA,0.4
1980.01.15,1,0,-4.2,-6.9,-1.4,5.8,3.5,NA,0.3
1980.01.16,1,0,-7.1,-8.8,-5.3,3.6,4.2,NA,0.2
1980.01.17,1,0,-3.5,-9,2.1,7.2,2.2,NA,0.4
1980.01.18,1,1.1,-0.3,-3.4,2.9,4.5,1.9,NA,0.5
1980.01.19,1,0,0.1,-2.3,2.5,6.8,4.5,NA,0.5
1980.01.20,1,1.9,-0.4,-2,1.3,4.2,5.1,NA,0.5
1980.01.21,1,5.6,-0.2,-1.5,1.2,2.7,7.4,NA,0.5
1980.01.22,1,9.1,1.1,0.8,1.4,2.4,7.4,NA,0.5
1980.01.23,1,6.2,1.8,-0.2,3.8,3.4,7.6,NA,0.6
1980.01.24,1,11.2,5,4,6,2,7.3,NA,0.7
1980.01.25,1,1.1,1.3,-1.2,3.7,4.5,0.7,NA,0.5
1980.01.26,1,0,0,-3.1,3.1,5.5,2.9,NA,0.5
1980.01.27,1,0,-1.8,-4.9,1.4,8.7,5.5,NA,0.3
1980.01.28,1,0,0.1,-4.6,4.8,9.4,4.4,NA,0.5
1980.01.29,1,0,3.4,0.4,6.4,5.9,4.1,NA,0.6
1980.01.30,1,0,3.3,1.5,5,3.3,5.5,NA,0.6
1980.01.31,1,7.5,4.9,3.2,6.6,4.9,8.9,NA,0.7
1980.02.01,1,3.3,1.2,0,2.4,6.6,5.7,NA,0.5
1980.02.02,1,3.9,2.1,1.2,2.9,4.2,7.4,NA,0.5
1980.02.03,1,5.4,2.7,1.2,4.1,3.1,7.7,NA,0.6
1980.02.04,1,18.8,7,5.1,8.9,1.9,8.3,NA,0.9
1980.02.05,1,6.5,4.2,2.2,6.1,7.4,8.5,NA,0.7
1980.02.06,1,1.3,4,1.7,6.2,5,5.4,NA,0.6
1980.02.07,1,1.3,2.7,0.7,4.7,7.3,4.4,NA,0.6
1980.02.08,1,0,5.5,-0.1,11,9.8,4.2,NA,0.7
1980.02.09,1,0,6.1,3.1,9,6.5,7.4,NA,0.7
