"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2002";"10";NA;"-3.18e-05";"7.1896e-05";"0.0004402";NA;"0.0023411798";"-9.749766e-05";"0.0002735776";"0.001298104";"2.5537e-05";"7.747e-05";"0.00029";"0.001430338"
"2002";"10";NA;"-3.18e-05";"4.0102e-05";"0.0004675";NA;"0.0021332537";"-2.541574e-05";"0.00043958308";"0.00154278";"0.00039288";"6.1968e-05";"0.000275";"0.001195556"
"2002";"10";NA;"-4.08e-05";"0.000290795";"0.0004698";NA;"0.0025203534";"-5.49633e-05";"8.60116e-05";"0.001659364";"0.00068426";"0.00028397";"-0.000275";"0.001787199"
"2002";"10";NA;"-5.33e-05";"0.000417111";"0.0005225";NA;"0.0026689168";"-9.15307e-05";"-0.0002371102";"0.001420808";"0.000268063";"0.000420516";"-0.000422";"4.2340000000001e-06"
"2002";"10";NA;"-6.73e-05";"0.001014229";"0.0004507";NA;"0.0030606346";"-0.0001404296";"-0.0004044234";"0.001721229";"0.000716859";"0.000939863";"-0.00043";"0.00213703"
"2002";"10";NA;"-4.43e-05";"0.000821058";"0.0006438";NA;"0.0028924176";"-0.0001040255";"-0.0002514078";"0.001820237";"0.001068864";"0.000804275";"-0.000269";"0.001307899"
"2002";"10";NA;"-4.81e-05";"0.001428879";"0.0006314";NA;"0.0032076838";"-0.0001207395";"-8.72984e-05";"0.002202998";"0.001499046";"0.00134675";"-6.3e-05";"0.002179738"
"2002";"10";NA;"-4.11e-05";"0.000879808";"0.0007711";NA;"0.0033049039";"-0.000155675";"-0.0005291523";"0.001933043";"0.001266052";"0.000814409";"-0.00044";"0.00193634"
"2002";"10";NA;"-1.9e-05";"0.000337246";"0.0008067";NA;"0.0028388394";"-0.000116785";"-0.0002284685";"0.001919296";"0.001600818";"0.000369596";"-0.00022";"0.002069744"
"2002";"10";NA;"9.90000000000002e-06";"0.000204448";"0.0007177";NA;"0.0024297316";"-7.4456e-05";"0.000397173";"0.001635888";"0.001043065";"0.000272528";"0.000514";"0.001963708"
"2002";"10";NA;"-7.34e-05";"0.00181593";"0.0004816";NA;"0.0028809712";"-8.03e-05";"-0.0001263296";"0.001879783";"0.001640872";"0.001771725";"-0.00052";"0.001835273"
"2002";"10";NA;"3.01e-05";"0.002919545";"0.0005787";NA;"0.0032511244";"-0.000158338";"-0.0005444063";"0.00198688";"0.002563612";"0.00277054";"-0.000888";"0.002235683"
"2002";"10";NA;"5.81e-05";"0.002786874";"0.001019";NA;"0.0029373379";"-4.4615e-05";"-0.0002074871";"0.002370926";"0.003268874";"0.002682395";"-0.000562";"0.002817084"
"2002";"10";NA;"6.38e-05";"0.00302575";"0.0011174";NA;"0.0027836425";"6.1025e-05";"-2.39306e-05";"0.002556737";"0.003747289";"0.002875526";"-0.000428";"0.002912539"
"2002";"10";NA;"8.9e-05";"0.000180964";"0.0012107";NA;"0.0020804186";"3.8686e-05";"-0.0004364935";"0.001374832";"0.002613418";"0.000217262";"-0.000596";"0.002722261"
"2002";"10";NA;"5.75e-05";"0.001184203";"0.0010136";NA;"0.0028239114";"3.669e-05";"-0.0003085468";"0.002139881";"0.001938422";"0.00105591";"-0.000257";"0.002730947"
"2002";"10";NA;"0.0001806";"0.000284902";"0.002536";NA;"0.0027122464";"1.189e-05";"-0.0006144923";"0.001674383";"0.001441535";"0.000200248";"-0.000565";"0.002246138"
"2002";"10";NA;"6.89e-05";"0.000520741";"0.0014335";NA;"0.0025331305";"5.631e-05";"3.79869999999997e-06";"0.002104918";"0.002322122";"0.000468387";"-9.99999999999916e-07";"0.002304159"
"2002";"10";NA;"5.65e-05";"0.00029444";"0.0013291";NA;"0.0027605611";"4.117e-05";"-0.0004309681";"0.001752909";"0.001504834";"0.000208856";"-0.000446";"0.002267927"
"2002";"10";NA;"0.0001162";"0.000876244";"0.0021176";NA;"0.0032263711";"8.042e-05";"-0.0005843793";"0.001939161";"0.001444016";"0.000628658";"-0.00046";"0.00271154"
"2002";"10";NA;"5.15e-05";"0.002437984";"0.0015576";NA;"0.0033219019";"0.00034461";"3.61086e-05";"0.002669076";"0.002724126";"0.002029062";"0.000232";"0.003410315"
"2002";"10";NA;"6.77e-05";"0.000836618";"0.0017449";NA;"0.0029626328";"0.00033379";"-0.000430064";"0.002003221";"0.001880051";"0.000648664";"-0.000318";"0.002527747"
"2002";"10";NA;"0.0001345";"0.000642178";"0.0024101";NA;"0.0030483215";"0.00016149";"-0.0004471504";"0.00198017";"0.001897479";"0.000399752";"-0.000365";"0.002972531"
"2002";"10";NA;"0.0001352";"0.000242895";"0.0022898";NA;"0.0027870805";"0.00023982";"-0.0001815543";"0.001242685";"0.000740021";"0.000207404";"0.000193";"-6.11899999999974e-06"
"2002";"10";NA;"7.37e-05";"0.000239188";"0.0015929";NA;"0.002639325";"0.00018931";"0.0001547168";"0.001869056";"0.002140495";"0.00019655";"-4.9e-05";"-0.000776328"
