"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";NA;"0";"0";"0";"0"
"2002";"10";NA;NA;"0.004130755";NA;"0.0073271111";"0.004420664";"0";"0.001060393";"0.003471763";"0";"0.00412139";"0.00226";"0.002432937"
"2002";"10";NA;NA;"0.004131104";NA;"0";"0.004386164";"0";"0.001053198";"0.003471763";"0.002432937";"0.004122372";"0.00226";"0.002432937"
"2002";"10";NA;NA;"0.004117148";NA;"0";"0.004349804";"0";"0.001048026";"0.003471763";"0.002432937";"0.004109121";"0.00226";"0.002432937"
"2002";"10";NA;NA;"0.004105509";NA;"0";"0.004312502";"0";"0.001052842";"0.003471763";"0.002432937";"0.004098158";"0.00226";"0.002432937"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0.002432937";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0.002269117";"0";"0";"0";"0"
"2002";"10";NA;NA;"0.002646474";NA;"0.0065148889";"0.00283907";"0";"0.001222042";"0.002269117";"0";"0.00263196";"0.00226";"0.001590155"
"2002";"10";NA;NA;"0.002644484";NA;"0";"0.002822413";"0";"0.00122655";"0.002269117";"0.001590155";"0.002628828";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.002638063";NA;"0";"0.00280551";"0";"0.001233775";"0.002269117";"0.001590155";"0.002621581";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.00263751";NA;"0";"0.002788607";"0";"0.001224214";"0.002269117";"0.001590155";"0.002619591";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.002641999";NA;"0";"0.002771377";"0";"0.001227877";"0.002269117";"0.001590155";"0.002623018";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.0026439";NA;"0";"0.002753952";"0";"0.001228269";"0.002269117";"0.001590155";"0.00262392";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.002648486";NA;"0";"0.002735034";"0";"0.001220095";"0.002132969";"0.001590155";"0.002627287";"0.00154";"0.001590155"
"2002";"10";NA;NA;"0.002492202";NA;"0";"0.002551843";"0";"0.001143248";"0.002132969";"0.001590155";"0.00247142";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002492184";NA;"0.020278";"0.002533606";"0";"0.001137415";"0.002132969";"0.001494745";"0.002470533";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002489521";NA;"0";"0.00251527";"0";"0.001138372";"0.002132969";"0.001494745";"0.002466856";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002493971";NA;"0";"0.002496494";"0";"0.001140274";"0.002132969";"0.001494745";"0.002470257";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002496712";NA;"0";"0.002475991";"0";"0.001136146";"0.002132969";"0.001494745";"0.002472267";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002493969";NA;"0";"0.002454849";"0";"0.001130248";"0.002132969";"0.001494745";"0.002468945";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0.002495418";NA;"0";"0.002433218";"0";"0.001133615";"0";"0.001494745";"0.002470054";"0.00154";"0.001494746"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0.001494745";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2002";"10";NA;NA;"0";NA;"0";"0";"0";"0";"0";"0";"0";"0";"0"
