"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.002;NA;NA;NA;0.001074275;NA;0.000332;NA;NA;9.48e-06;NA;NA;0.0006426;NA;NA;0.000323815
2007;NA;0.002;NA;NA;NA;0.00123682;NA;0.000357;NA;NA;1.14008e-05;NA;NA;0.0006365;NA;NA;0.001200191
2007;NA;0.001;NA;NA;NA;0.002295375;NA;0.000301;NA;NA;1.40142e-05;NA;NA;0.00062;NA;NA;0.001085202
2007;NA;0.001;NA;NA;NA;0.00251892;NA;0.000266;NA;NA;1.36307e-05;NA;NA;0.0013697;NA;NA;0.00091859
2007;NA;0.001;NA;NA;NA;0.002754115;NA;0.00016;NA;NA;1.16822e-05;NA;NA;0.0003821;NA;NA;0.000716848
2007;NA;0.001;NA;NA;NA;0.00264178;NA;8e-05;NA;NA;1.14176e-05;NA;NA;0.001051;NA;NA;0.000403879
2007;NA;0.001;NA;NA;NA;0.00215928;NA;6e-05;NA;NA;1.08083e-05;NA;NA;0.0007081;NA;NA;0.000651927
2007;NA;0.001;NA;NA;NA;0.00177784;NA;5.5e-05;NA;NA;9.49e-06;NA;NA;0.0005234;NA;NA;0.000903597
2007;NA;0.001;NA;NA;NA;0.00225019;NA;5.8e-05;NA;NA;9.88e-06;NA;NA;0.0014203;NA;NA;0.000435425
2007;NA;0.001;NA;NA;NA;0.002205365;NA;5e-05;NA;NA;1.14385e-05;NA;NA;0.0007835;NA;NA;0.000361341
2007;NA;0.001;NA;NA;NA;0.002123155;NA;4.6e-05;NA;NA;1.1524e-05;NA;NA;0.0006919;NA;NA;0.000509289
2007;NA;0;NA;NA;NA;0.00196234;NA;4.5e-05;NA;NA;1.07155e-05;NA;NA;0.0006448;NA;NA;0.000343353
2007;NA;0;NA;NA;NA;0.001890305;NA;4.4e-05;NA;NA;9.03e-06;NA;NA;0.0006286;NA;NA;0.000366344
2007;NA;0.001;NA;NA;NA;0.00183806;NA;4.4e-05;NA;NA;8.28e-06;NA;NA;0.000616;NA;NA;0.000504301
2007;NA;0.001;NA;NA;NA;0.00171891;NA;4.4e-05;NA;NA;7.84e-06;NA;NA;0.000606;NA;NA;0.000407489
2007;NA;0;NA;NA;NA;0.00174895;NA;4.3e-05;NA;NA;7.61e-06;NA;NA;0.0005977;NA;NA;0.000374428
2007;NA;0;NA;NA;NA;0.001712965;NA;4.3e-05;NA;NA;7.46e-06;NA;NA;0.0005907;NA;NA;0.000233195
2007;NA;0.001;NA;NA;NA;0.00168371;NA;4.3e-05;NA;NA;7.48e-06;NA;NA;0.0005845;NA;NA;0.000137566
2007;NA;0.001;NA;NA;NA;0.00165902;NA;4.3e-05;NA;NA;7.62e-06;NA;NA;0.0005791;NA;NA;0.000409551
2007;NA;0;NA;NA;NA;0.001634875;NA;4.3e-05;NA;NA;7.86e-06;NA;NA;0.0005743;NA;NA;0.000802569
2007;NA;0;NA;NA;NA;0.00160832;NA;4.3e-05;NA;NA;7.91e-06;NA;NA;0.0005698;NA;NA;0.000538698
2007;NA;0;NA;NA;NA;0.001587845;NA;4.3e-05;NA;NA;8.02e-06;NA;NA;0.0005658;NA;NA;9.22e-05
2007;NA;0;NA;NA;NA;0.00157008;NA;4.3e-05;NA;NA;8.77e-06;NA;NA;0.000562;NA;NA;0.000423607
2007;NA;0;NA;NA;NA;0.00155366;NA;4.3e-05;NA;NA;1.18195e-05;NA;NA;0.0005585;NA;NA;5.55e-05
2007;NA;0;NA;NA;NA;0.001536305;NA;4.3e-05;NA;NA;1.21844e-05;NA;NA;0.0005552;NA;NA;0.000157121
2007;NA;0;NA;NA;NA;0.001521215;NA;4.3e-05;NA;NA;1.04309e-05;NA;NA;0.0005521;NA;NA;0.000102361
2007;NA;0;NA;NA;NA;0.001507915;NA;4.3e-05;NA;NA;8.48e-06;NA;NA;0.0005491;NA;NA;0.000106446
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.001;NA;NA;NA;0.001642935;NA;4.3e-05;NA;NA;8.04e-06;NA;NA;0.0006016;NA;NA;0.000380643
2007;NA;0.001;NA;NA;NA;0.001627505;NA;4.3e-05;NA;NA;8.09e-06;NA;NA;0.0005986;NA;NA;0.000249074
2007;NA;0;NA;NA;NA;0.001612115;NA;4.2e-05;NA;NA;7.99e-06;NA;NA;0.0005957;NA;NA;0.000193988
2007;NA;0;NA;NA;NA;0.001598215;NA;4.2e-05;NA;NA;7.88e-06;NA;NA;0.0005929;NA;NA;0.000222918
2007;NA;0;NA;NA;NA;0.00158729;NA;4.2e-05;NA;NA;7.77e-06;NA;NA;0.0005902;NA;NA;0.000342101
2007;NA;0;NA;NA;NA;0.00157528;NA;4.2e-05;NA;NA;7.65e-06;NA;NA;0.0005876;NA;NA;0.000197331
2007;NA;0.001;NA;NA;NA;0.001564605;NA;4.2e-05;NA;NA;7.56e-06;NA;NA;0.000585;NA;NA;1.89e-05
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0;NA;NA;NA;0.00154287;NA;4.2e-05;NA;NA;7.46e-06;NA;NA;0.0005801;NA;NA;0.000322296
2007;NA;0.001;NA;NA;NA;0.001533295;NA;4.2e-05;NA;NA;7.38e-06;NA;NA;0.0005777;NA;NA;7.76e-05
2007;NA;0;NA;NA;NA;0.00152216;NA;4.2e-05;NA;NA;7.3e-06;NA;NA;0.0005754;NA;NA;0.000512388
2007;NA;0;NA;NA;NA;0.001510005;NA;4.2e-05;NA;NA;7.24e-06;NA;NA;0.0005732;NA;NA;0.000154822
2007;NA;0;NA;NA;NA;0.001547155;NA;4.2e-05;NA;NA;7.18e-06;NA;NA;0.0005814;NA;NA;0.000244874
2007;NA;0;NA;NA;NA;0.001491445;NA;4.2e-05;NA;NA;7.1e-06;NA;NA;0.0005689;NA;NA;0.000143033
2007;NA;0.001;NA;NA;NA;0.001485325;NA;4.2e-05;NA;NA;7.01e-06;NA;NA;0.0005668;NA;NA;0.000235564
2007;NA;0.001;NA;NA;NA;0.001476765;NA;4.2e-05;NA;NA;6.89e-06;NA;NA;0.0005648;NA;NA;0.000181908
2007;NA;0;NA;NA;NA;0.001466525;NA;4.2e-05;NA;NA;6.78e-06;NA;NA;0.0005628;NA;NA;0.000361268
2007;NA;0;NA;NA;NA;0.001456055;NA;4.2e-05;NA;NA;6.67e-06;NA;NA;0.0005609;NA;NA;0.000533464
2007;NA;0.001;NA;NA;NA;0.001450065;NA;4.2e-05;NA;NA;6.55e-06;NA;NA;0.000559;NA;NA;0.000138854
2007;NA;0.001;NA;NA;NA;0.001442965;NA;4.2e-05;NA;NA;6.43e-06;NA;NA;0.0005572;NA;NA;0.000199251
2007;NA;0.001;NA;NA;NA;0.00143393;NA;4.2e-05;NA;NA;6.31e-06;NA;NA;0.0005554;NA;NA;0.000286885
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
