"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2008;7;0.001;2e-04;NA;0.0003599;0.00011;NA;0.000321;0.00027;NA;0.0002319839;0;9.9e-05;NA;0;0.0005341;0.000493809
2008;7;0.001;1e-04;NA;0.000306;8e-05;NA;0.000203;6e-05;NA;0.0001799466;0.000258662;9.45e-05;NA;0;0.0004338;0.000366383
2008;7;0.001;1e-04;NA;0.0003263;1e-04;NA;0.000193;1e-04;NA;0.000188102;0.000219865;7.65e-05;NA;0;0.0004111;0.000399927
2008;7;0.001;1e-04;NA;0.0003769;0.00016;NA;0.000315;0.00049;NA;0.0002839775;0.00022447;4.95e-05;NA;0.001;0.0005666;0.000634149
2008;7;0.002;2e-04;NA;0.0005365;0.00017;NA;0.000402;0.00063;NA;0.0003108071;0.000281354;4.5e-05;NA;0.001;0.0006863;0.000857186
2008;7;0.001;2e-04;NA;0.0005071;0.00019;NA;0.000396;0.00055;NA;0.0003046024;0.000313229;4.95e-05;NA;0;0.0007212;0.000905148
2008;7;0.002;3e-04;NA;0.0004904;2e-04;NA;0.000492;0.00073;NA;0.0003507524;0.000311818;6.75e-05;NA;0.001;0.0008107;0.001241639
2008;7;0.001;2e-04;NA;0.0004835;0.00014;NA;0.000414;0.00045;NA;0.0002691911;0.000356964;0.000108;NA;0.001;0.0006854;0.00111423
2008;7;0.001;3e-04;NA;0.0005102;0.00016;NA;0.000433;0.00057;NA;0.0003008231;0.000315288;0.000144;NA;0.001;0.0007267;0.001254518
2008;7;0.001;3e-04;NA;0.0005064;0.00018;NA;0.000443;0.00057;NA;0.0003123963;0.000340888;0.000153;NA;0.001;0.0007536;0.001242948
2008;7;0.002;3e-04;NA;0.0005165;0.00018;NA;0.000488;0.00066;NA;0.0003323077;0.000350246;0.000153;NA;0.001;0.0008059;0.001425512
2008;7;0.001;3e-04;NA;0.0005076;0.00015;NA;0.000395;0.00043;NA;0.0002741514;0.000375414;0.0001575;NA;0.001;0.0007095;0.001204827
2008;7;0.001;3e-04;NA;0.0004897;0.00015;NA;0.000416;0.00048;NA;0.000285834;0.000338617;0.0001395;NA;0.001;0.0007086;0.00109274
2008;7;0.001;3e-04;NA;0.0004952;0.00016;NA;0.000439;0.00053;NA;0.0002988655;0.000350596;0.000144;NA;0.001;0.0007327;0.001085274
2008;7;0.001;3e-04;NA;0.0005807;0.00016;NA;0.000473;0.00061;NA;0.0003139978;0.000363351;0.000144;NA;0.001;0.0007764;0.000911739
2008;7;0.001;3e-04;NA;0.000612;0.00016;NA;0.000441;0.00052;NA;0.0002980493;0.00038218;0.0001305;NA;0.001;0.0007772;0.00051786
2008;7;0.001;3e-04;NA;0.0006168;0.00018;NA;0.00049;0.00063;NA;0.0003342127;0.000370795;0.0001125;NA;0;0.0008409;0.000462574
2008;7;0.002;3e-04;NA;0.0006216;0.00021;NA;0.000549;0.00075;NA;0.0003696795;0.000397403;0.0001305;NA;0.001;0.0009082;0.000525729
2008;7;0.002;4e-04;NA;0.0006279;0.00023;NA;0.001562;9e-04;NA;0.0004370061;0.000432848;0.0001485;NA;0.001;0.001099;0.000446228
2008;7;0.002;4e-04;NA;0.0006608;2e-04;NA;0.000879;8e-04;NA;0.0003894542;0.000503602;0.000189;NA;0.001;0.001047;0.000338894
2008;7;0.002;4e-04;NA;0.0006642;0.00019;NA;0.000594;0.00074;NA;0.0003698769;0.000485581;0.000216;NA;0.001;0.001009;0.000314307
2008;7;0.001;3e-04;NA;0.0006685;0.00017;NA;0.000451;0.00043;NA;0.0002951249;0.000481695;0.000243;NA;0.001;0.0008104;0.00016106
2008;7;0.001;3e-04;NA;0.0006269;0.00019;NA;0.000465;5e-04;NA;0.0003126005;0.000410784;0.0002295;NA;0.001;0.0008195;0.000142531
2008;7;0.001;3e-04;NA;0.000612;0.00017;NA;0.000456;0.00049;NA;0.0003033809;0.000419283;0.0002205;NA;0.001;0.0007832;0.000397747
2008;7;0.001;3e-04;NA;0.0006058;0.00016;NA;0.000471;0.00025;NA;0.0002509089;0.000416014;0.00018;NA;0.001;0.0006414;0.000383772
2008;7;0.001;2e-04;NA;0.000567;0.00016;NA;0.000344;0.00031;NA;0.0002618704;0.000359323;0.0001485;NA;0.001;0.0006248;0.000319884
2008;7;0.001;2e-04;NA;0.0005521;0.00016;NA;0.000418;0.00023;NA;0.0002465897;0.000360417;0.0001215;NA;0;0.0005709;0.000335968
2008;7;0.001;2e-04;NA;0.0005187;0.00013;NA;0.000406;0.00018;NA;0.0002213022;0.000336355;0.000108;NA;0;0.0005205;0.000558494
2008;7;0.001;2e-04;NA;0.0004879;0.00011;NA;0.000355;0.00015;NA;0.0002060896;0.000314592;8.55e-05;NA;0;0.0004812;0.000730074
2008;7;0.001;2e-04;NA;0.0005006;0.00012;NA;0.000338;0.00016;NA;0.0002123746;0.000296708;6.3e-05;NA;0;0.000467;0.000723693
2008;7;0.001;2e-04;NA;0.0005082;0.00014;NA;0.000356;0.00022;NA;0.0002428802;0.000289004;4.5e-05;NA;0;0.0004913;0.000652047
2008;7;0.001;2e-04;NA;0.0006011;0.00015;NA;0.000422;0.00036;NA;0.0002672262;0.000292021;3.6e-05;NA;0.001;0.0005665;0.000715389
2008;7;0.001;2e-04;NA;0.0006022;0.00014;NA;0.000417;0.00023;NA;0.0002431725;0.000313814;3.15e-05;NA;0;0.000536;0.000482227
2008;7;0.001;2e-04;NA;0.0005956;0.00017;NA;0.00032;3e-04;NA;0.000260096;0.000289247;3.6e-05;NA;0;0.0005354;0.000587974
2008;7;0.001;2e-04;NA;0.0005879;0.00016;NA;0.000355;0.00042;NA;0.0002837171;0.00029865;4.5e-05;NA;0;0.0006032;0.000623904
2008;7;0.001;3e-04;0.000157363636363636;0.0006028;0.00021;NA;0.000443;0.00059;NA;0.0003407683;0.000321469;5.85e-05;NA;0.001;0.0007192;0.000610805
2008;7;0.001;3e-04;0.000180818181818182;0.0006148;2e-04;NA;0.000409;0.00048;NA;0.0003146086;0.000359447;8.1e-05;NA;0;0.0006976;0.000405743
2008;7;0.001;3e-04;0.000180272727272727;0.0006099;0.00021;NA;0.00038;4e-04;NA;0.0003001815;0.000344589;9.45e-05;NA;0;0.0006623;0.0002581
2008;7;0.001;3e-04;0.000177;0.0005986;0.00022;NA;0.000405;0.00045;NA;0.0003163098;0.000334625;0.0001215;NA;0.001;0.0006772;0.000266813
2008;7;0.001;3e-04;0.000186;0.0005963;0.00022;NA;0.000417;0.00047;NA;0.0003216919;0.000347199;0.0001485;NA;0.001;0.0006915;0.000123395
2008;7;0.001;3e-04;0.000192272727272727;0.0005959;0.00021;NA;0.000383;0.00039;NA;0.0003012432;0.000354428;0.0001755;NA;0.001;0.0006567;0.000409429
2008;7;0.001;3e-04;0.000183272727272727;0.0005871;0.00021;NA;0.000389;0.00041;NA;0.000306081;0.000341816;0.00018;NA;0.001;0.0006592;5.55e-05
2008;7;0.001;3e-04;0.000182454545454545;0.0005841;2e-04;NA;0.00039;4e-04;NA;0.0003058024;0.000346279;0.0001845;NA;0.001;0.0006556;1.4512e-05
2008;7;0.001;2e-04;0.000182181818181818;0.0005823;0.00019;NA;0.000384;0.00039;NA;0.0003008578;0.000347964;0.0001845;NA;0.001;0.0006472;6e-06
2008;7;0.001;2e-04;0.000178909090909091;0.0005726;0.00013;NA;0.000433;0.00016;NA;0.0002268844;0.000346703;0.0001755;NA;0.001;0.0005233;4.8e-05
2008;7;0.001;1e-04;0.000143727272727273;0.0005318;1e-04;NA;0.000316;5e-05;NA;0.0001926192;0.000296303;0.0001395;NA;0.001;0.0004404;3.3103e-05
2008;7;0.001;1e-04;0.000112636363636364;0.0005355;0.00013;NA;0.000318;0.00012;NA;0.0002172073;0.000265968;9e-05;NA;0;0.0004347;8.18e-06
2008;7;0.001;1e-04;0.000109636363636364;0.0005312;0.00016;NA;0.000311;0.00014;NA;0.0002301483;0.000267119;6.3e-05;NA;0;0.0004333;3.622e-06
2008;7;0.001;1e-04;0.000117272727272727;0.0005233;0.00018;NA;0.000346;0.00022;NA;0.0002650388;0.000263476;4.95e-05;NA;0.001;0.0004619;1.0687e-05
2008;7;0.001;1e-04;0.000129272727272727;0.0005206;0.00018;NA;0.000275;0.00027;NA;0.0002733496;0.000271295;4.5e-05;NA;0.001;0.0004927;7.33e-06
2008;7;0.001;2e-04;0.000145909090909091;0.0005258;0.00018;NA;0.000383;0.00049;NA;0.0003183163;0.000279453;5.4e-05;NA;0.001;0.0005968;9.647e-06
2008;7;0.001;2e-04;0.000169636363636364;0.0005503;0.00019;NA;0.000414;0.00051;NA;0.0003307605;0.000320317;8.55e-05;NA;0.001;0.000654;5.26e-06
2008;7;0.001;3e-04;0.000174545454545455;0.0005648;0.00022;NA;0.000492;0.00065;NA;0.0003816812;0.000332175;0.0001125;NA;0.001;0.0007626;1.5498e-05
2008;7;0.001;3e-04;0.000197454545454545;0.0005885;0.00021;NA;0.000467;0.00056;NA;0.0003547947;0.000368149;0.0001485;NA;0.001;0.0007458;7.25e-06
2008;7;0.001;3e-04;0.000190090909090909;0.0005976;0.00027;NA;0.000445;5e-04;NA;0.0003573211;0.000356338;0.000171;NA;0.001;0.000719;3.473e-06
2008;7;0.001;3e-04;0.000189818181818182;0.0006023;0.00021;NA;0.000525;0.00069;NA;0.0003905172;0.000360133;0.000207;NA;0.001;0.0008321;1.2463e-05
2008;7;0.001;3e-04;0.000242181818181818;0.0006433;2e-04;NA;0.000465;0.00054;NA;0.0003475607;0.000407392;0.000234;NA;0.001;0.0007868;2.5754e-05
2008;7;0.001;3e-04;0.000205363636363636;0.0006467;0.00018;NA;0.000424;0.00044;NA;0.0003208526;0.000395224;0.000225;NA;0.001;0.0007458;5.46e-06
2008;7;0.001;3e-04;0.000188454545454545;0.000648;0.00022;NA;0.000513;0.00067;NA;0.0003922811;0.000378181;0.0002115;NA;0.001;0.0008735;1.066e-05
2008;7;0.001;4e-04;0.000225545454545455;0.000815;0.00021;0.0002074;0.001395;0.00068;NA;0.0004048501;0.00045199;0.0002025;NA;0.001;0.0009591;2.9308e-05
2008;7;0.001;4e-04;0.000239727272727273;0.0008182;0.00022;0.0002159;0.001452;0.00071;NA;0.0004177834;0.000466785;0.0002115;NA;0.001;0.0009972;1.7032e-05
2008;7;0.001;3e-04;0.000234818181818182;0.0008297;0.00018;0.0002248;0.001073;0.00048;NA;0.000339555;0.000484864;0.0002295;NA;0.001;0.0008448;1.297e-06
2008;7;0.001;3e-04;0.000196636363636364;0.0007964;0.00013;0.0001908;0.000839;0.00026;NA;0.0002696873;0.000427723;0.000234;NA;0.001;0.0006832;0
2008;7;0.001;2e-04;0.000157636363636364;0.0007618;0.00014;0.0001595;0.000751;2e-04;NA;0.0002553692;0.000371197;0.000198;NA;0.001;0.0006013;3.29e-06
2008;7;0.001;2e-04;0.000137727272727273;0.0007348;0.00015;0.0001441;0.000755;0.00021;NA;0.0002621142;0.000345747;0.000162;NA;0.001;0.0005681;0.000104092
2008;7;0.001;2e-04;0.000127636363636364;0.0007108;0.00017;0.0001384;0.000916;4e-04;NA;0.0003160755;0.000335099;0.0001215;NA;0.001;0.00066;0.000634469
2008;7;0.001;2e-04;0.000144545454545455;0.0007086;0.00017;0.0001629;0.000753;3e-04;NA;0.0002919347;0.000371852;9.9e-05;NA;0.001;0.0006186;0.000989657
2008;7;0.001;2e-04;0.000125181818181818;0.0007104;0.00016;0.000169;0.000907;0.00041;NA;0.0003113089;0.000345559;8.55e-05;NA;0.001;0.0006679;0.001136041
2008;7;0.001;2e-04;7.36363636363636e-05;0.0007163;0.00016;0.0001844;0.000899;4e-04;NA;0.0003134097;0.000369991;9e-05;NA;0.001;0.0006717;0.000972899
2008;7;0.001;3e-04;6.73636363636364e-05;0.0007117;0.00023;0.0001664;0.001288;0.00063;NA;0.0004005749;0.000370314;9e-05;NA;0.001;0.0008221;0.001161778
2008;7;0.001;3e-04;6.95454545454546e-05;0.0007333;0.00018;0.0002228;0.001216;0.00058;NA;0.0003764391;0.000426755;0.000126;NA;0.001;0.0008288;0.001143758
2008;7;0.001;3e-04;7.33636363636364e-05;0.0007384;0.00019;0.0002002;0.001164;0.00054;NA;0.0003621632;0.000422253;0.000135;NA;0.001;0.0008172;0.000924389
2008;7;0.001;3e-04;7.60909090909091e-05;0.000739;0.00022;0.0001977;0.001494;0.00072;NA;0.0004326721;0.000419104;0.000153;NA;0.001;0.0009624;0.001085578
2008;7;0.001;4e-04;7.69090909090909e-05;0.0007594;0.00026;0.0002316;0.001449;0.00069;NA;0.0004352195;0.000478217;0.0001935;NA;0.001;0.0009791;0.000872193
2008;7;0.001;4e-04;7.44545454545455e-05;0.0007767;2e-04;0.0002618;0.001396;0.00065;NA;0.0004059813;0.000480368;0.000234;NA;0.001;0.0009665;0.0006831
2008;7;0.001;3e-04;7.63636363636363e-05;0.0007802;0.00015;0.0002312;0.00101;0.00035;NA;0.0003072846;0.000479944;0.0002295;NA;0.001;0.0007729;0.00082783
2008;7;0.001;3e-04;5.86363636363636e-05;0.0007514;0.00014;0.0001869;0.000867;0.00024;NA;0.00027051;0.000405435;0.000207;NA;0.001;0.0006565;0.000868026
2008;7;0.001;2e-04;4.96363636363636e-05;0.0007256;0.00014;0.000164;0.000851;0.00026;NA;0.0002772327;0.000368341;0.0001845;NA;0.001;0.0006287;0.000769765
2008;7;0.001;2e-04;4.85454545454545e-05;0.0007128;0.00016;0.0001617;0.000824;0.00025;NA;0.0002794563;0.000362872;0.0001485;NA;0.001;0.0006035;0.000646173
2008;7;0;2e-04;4.39090909090909e-05;0.0007019;0.00016;0.0001764;0.001029;0.00039;NA;0.00031515;0.000351596;0.000108;NA;0.001;0.0006667;0.001025821
2008;7;0;2e-04;6.3e-05;0.0006988;0.00013;0.0001747;0.000805;0.00024;NA;0.0002699561;0.000375574;8.1e-05;NA;0.001;0.0005903;0.000821922
2008;7;0;2e-04;5.23636363636364e-05;0.0006779;0.00012;0.0001557;0.000545;0.00014;NA;0.0002366747;0.000337921;7.2e-05;NA;0.001;0.0005167;0.00058444
2008;7;0;2e-04;4.63636363636364e-05;0.0006531;0.00012;0.000118;0.000584;0.00016;NA;0.0002392763;0.000312296;6.75e-05;NA;0.001;0.0005016;0.00051623
2008;7;0;2e-04;4.55454545454545e-05;0.0006464;0.00014;0.00011;0.000699;0.00023;NA;0.0002715977;0.000302618;5.85e-05;NA;0.001;0.0005218;0.000342395
2008;7;0;2e-04;4.52727272727273e-05;0.0006432;0.00017;0.0001357;0.001011;0.00041;NA;0.0003239152;0.000311597;5.85e-05;NA;0.001;0.0006231;0.00081053
2008;7;0;2e-04;4.5e-05;0.0006547;0.00016;0.0001795;0.000971;0.00038;NA;0.0003146923;0.000345486;5.85e-05;NA;0.001;0.0006349;0.001034566
2008;7;0;2e-04;0.000114545454545455;0.0006556;0.00017;0.0001646;0.000885;0.00029;NA;0.0002988397;0.000351285;6.3e-05;NA;0.001;0.0005937;0.00122396
2008;7;0.001;2e-04;0.000110181818181818;0.0006486;2e-04;0.000158;0.001092;5e-04;NA;0.0003650133;0.000324323;7.2e-05;NA;0.001;0.0007155;0.001550235
2008;7;0.001;3e-04;0.000122727272727273;0.0006658;0.00019;0.0001869;0.001262;6e-04;NA;0.0003913605;0.000371228;0.0001125;NA;0.001;0.0008089;0.001294036
2008;7;0.001;3e-04;0.000138;0.0006856;0.00021;0.000204;0.001219;0.00056;NA;0.0003869721;0.000401483;0.000135;NA;0.001;0.0008216;0.001284225
2008;7;0.001;3e-04;0.000142363636363636;0.0009627;0.00023;0.0002127;0.001276;0.00058;NA;0.0004024563;0.000402853;0.0001665;NA;0.001;0.0008608;0.00140002
2008;7;0.001;3e-04;0.000148090909090909;0.0009548;2e-04;0.0002242;0.001265;0.00058;NA;0.0003898499;0.000418665;0.000198;NA;0.001;0.0008726;0.001398436
2008;7;0.001;4e-04;0.000153;0.0009353;0.00024;0.000223;0.001385;0.00063;NA;0.000425761;0.000424752;0.000225;NA;0.001;0.0009353;0.001310769
2008;7;0.001;3e-04;0.000170727272727273;0.0009314;0.00022;0.0002383;0.00113;0.00048;NA;0.0003760099;0.000479163;0.0002475;NA;0.001;0.0008483;0.001111209
2008;7;0.001;3e-04;0.000165;0.0009135;0.00017;0.0002194;0.000981;0.00036;NA;0.0003224205;0.000457291;0.00027;NA;0.001;0.000759;0.000861682
2008;7;0;2e-04;0.000131727272727273;0.0008784;0.00015;0.000197;0.000803;0.00022;NA;0.0002739744;0.000395962;0.0002475;NA;0.001;0.0006404;0.000518948
2008;7;0.001;2e-04;0.000105545454545455;0.0008404;0.00016;0.000171;0.000778;0.00022;NA;0.0002806715;0.00035799;0.000198;NA;0.001;0.0006046;0.001091998
2008;7;0.001;2e-04;0.000106909090909091;0.0008121;0.00016;0.0001669;8e-04;0.00023;NA;0.0002831494;0.000364105;0.000171;NA;0.001;0.0005892;0.001491789
2008;7;0.001;2e-04;0.000108818181818182;0.0007901;0.00016;0.0001643;0.001004;0.00036;NA;0.0003221756;0.000342462;0.0001305;NA;0.001;0.0006561;0.001747555
2008;7;0.001;2e-04;0.000115636363636364;0.0007842;0.00019;0.0007802;0.000953;0.00039;NA;0.0003453044;0.00035538;0.0001035;NA;0.001;0.0006944;0.001618647
2008;7;0.001;3e-04;0.000130363636363636;0.000779;2e-04;0.0008555;0.001045;0.00042;NA;0.0003663545;0.000397333;0.000117;NA;0.001;0.0007338;0.001770534
2008;7;0.001;3e-04;0.000146181818181818;0.0007822;0.00021;0.0009389;0.001226;0.00054;NA;0.0003989884;0.000419577;0.000153;NA;0.001;0.0008151;0.001860722
2008;7;0;3e-04;0.000142636363636364;0.0008011;2e-04;0.0016131;0.001205;0.00054;NA;0.0003903363;0.00042374;0.000189;NA;0.001;0.0008325;0.001833044
2008;7;0;3e-04;0.000139636363636364;0.0008038;0.00018;0.001034;0.00309;0.00042;NA;1.23381e-05;0.000434222;0.0002115;NA;0.001;0.002227;0.001526179
2008;1;0.001;0;0.000555;6e-04;0.00049;0.0009078;0.005319;0.00166;0;2.22518e-05;0.000947763;0.0005985;NA;0.001;0.002523;0.001324914
2008;1;0.001;0.0011;0.000734454545454545;0.000872;0.00035;0.0022241;0.004755;0.00114;0;3.44005e-05;0.000509751;0.001044;NA;0.001;0.00173;0.001262365
2008;1;0.001;6e-04;0.000857727272727273;0.0009089;0.00016;0.0018949;0.003931;0.00291;0.0001254;4.6242e-05;0.004140844;0.0013095;NA;0.001;0.001914;0.001425341
